unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz,cell_type
49,flicker_40Hz,3259,15.79861111111111,11.840277777777779,1.3343108504398826,0.14321608040201,0.12321509191919042,0.06160754595959521,0.0034897179234973266,4.204490114715254e-06,29.587092029044083,True,4.7300513790546605e-05,True,good,CTX,790.2333984375,12.928538652212142,principal
57,flicker_40Hz,1053,5.104166666666667,3.6458333333333335,1.4000000000000001,0.16666666666666669,0.09124320339980029,0.04562160169990014,0.0011327386505442403,0.11172208962790132,55.35396233406825,True,0.41895783610463,False,good,CTX,799.13525390625,3.417384769356727,principal
56,flicker_40Hz,297,1.4930555555555556,0.8680555555555556,1.72,0.2647058823529412,0.08558105942410936,0.04279052971205468,-0.0015411630350933936,0.5809156726181703,283.2385657409771,True,0.8909847143018271,False,good,CTX,801.6923828125,1.461032872567075,principal
55,flicker_40Hz,161,1.1458333333333335,0.45138888888888884,2.538461538461539,0.4347826086956523,0.18974092362564854,0.09487046181282427,0.002806657052857164,0.23508132980904978,306.84363116307406,False,0.622274108318073,False,good,CTX,805.0826416015625,0.5582229578099492,principal
58,flicker_40Hz,218,1.4583333333333335,0.3819444444444444,3.818181818181819,0.5849056603773586,0.16557213497991086,0.08278606748995543,0.0022768211408221994,0.22465208703654518,92.31716233231653,True,0.622274108318073,False,good,CTX,842.6435546875,1.3597535832691678,principal
65,flicker_40Hz,9894,44.75694444444444,38.958333333333336,1.1488413547237075,0.06926586478639564,0.03237745936450871,0.016188729682254356,0.00016101988684586794,0.07479467440537364,58.73411909256259,True,0.3365760348241814,False,good,CTX,872.6962890625,36.99463414940352,interneuron
64,flicker_40Hz,693,3.7847222222222223,2.291666666666667,1.6515151515151514,0.24571428571428566,0.06033453141922704,0.03016726570961352,-0.0005337076635356422,0.5323985923777479,359.0163404748975,True,0.8909847143018271,False,good,CTX,879.1714477539062,5.669662089563702,principal
67,flicker_40Hz,199,1.0763888888888888,0.5902777777777778,1.8235294117647058,0.29166666666666663,0.07894168183165924,0.03947084091582962,-0.003484689347283115,0.7339059233286395,15.269794218092258,False,0.8909847143018271,False,good,CTX,927.9193115234375,1.1939878714886087,principal
66,flicker_40Hz,46,0.3819444444444444,0.034722222222222224,10.999999999999998,0.8333333333333334,0.20288667356915155,0.10144333678457577,-0.011702788298055827,0.6253339621752843,102.00735988545586,False,0.8909847143018271,False,good,CTX,939.7611694335938,0.27733117889778486,principal
72,flicker_40Hz,439,2.291666666666667,1.1111111111111112,2.0625,0.34693877551020413,0.11607826952334994,0.05803913476167497,0.0010931268743036946,0.22801350897978157,277.5827678863256,True,0.622274108318073,False,good,CTX,956.0975341796875,2.0576311860875593,principal
