unit,condition,baseline_mean_hz,baseline_sd_hz,baseline_cv,label,region,depth_um,fr_hz,cell_type
138,phase_reversing_1,4.316666666666666,2.7416033427337534,0.6351204654981668,good,HPC,1647.69873046875,3.940397349246701,principal
137,phase_reversing_1,11.7,6.11432743643976,0.5225920885845949,good,HPC,1648.5931396484375,13.067797674996765,principal
136,phase_reversing_1,0.7166666666666667,2.398552804412602,3.346817866622235,good,HPC,1668.7030029296875,0.6183575358305816,interneuron
142,phase_reversing_1,3.2583333333333333,3.0543570881974857,0.9373985948432182,good,HPC,1676.186279296875,2.6099198105402093,interneuron
143,phase_reversing_1,2.725,3.050170760247148,1.1193287193567516,good,HPC,1676.8529052734375,2.2942132759318894,interneuron
158,phase_reversing_1,0.1,0.21984843263788198,2.1984843263788196,good,HPC,1960.6185302734375,0.09059748925476853,interneuron
170,phase_reversing_1,10.308333333333334,6.175281145196729,0.5990571846593432,good,HPC,2025.796142578125,11.272464023301833,principal
174,phase_reversing_1,2.5833333333333335,3.0648092200911226,1.1863777626159184,good,HPC,2044.546142578125,3.1926713462269958,principal
175,phase_reversing_1,14.183333333333334,7.679500128408243,0.5414453674553403,good,HPC,2050.2314453125,14.512214414163402,interneuron
15,static,0.4666666666666667,1.0200762498732903,2.185877678299908,good,CTX,422.42724609375,0.5637616689434286,principal
25,static,22.9,18.741620349727857,0.8184113689837492,good,CTX,480.804443359375,17.962435828097185,interneuron
23,static,4.383333333333334,4.921353698142638,1.1227422885496512,good,CTX,502.58251953125,6.988666583779414,principal
20,static,9.8,6.360162471719309,0.6489961705836029,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,static,9.575,14.082739139338862,1.4707821555445288,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,static,6.641666666666667,6.206912589112955,0.9345414186870196,good,CTX,555.851318359375,6.068844913398031,interneuron
32,static,21.066666666666666,4.7543547289709975,0.22568139536254736,good,CTX,582.375,21.277750063708364,principal
35,static,9.583333333333334,3.136036068386686,0.3272385462664368,good,CTX,599.0913696289062,8.014119387920724,principal
45,static,0.35,0.4856267428111155,1.38750497946033,good,CTX,738.1071166992188,0.2599238010497071,principal
50,static,5.891666666666667,5.23059243510926,0.8877950384909635,good,CTX,766.4937744140625,8.659379234971063,interneuron
49,static,13.241666666666667,6.047376612126029,0.45669301035564724,good,CTX,790.2333984375,12.928538652212142,principal
57,static,3.825,5.934240333297374,1.5514353812542152,good,CTX,799.13525390625,3.417384769356727,principal
56,static,1.4333333333333333,2.749949494485712,1.9185694147574734,good,CTX,801.6923828125,1.461032872567075,principal
55,static,0.65,1.111680409710153,1.7102775534002352,good,CTX,805.0826416015625,0.5582229578099492,principal
58,static,0.525,1.453229162933362,2.768055548444499,good,CTX,842.6435546875,1.3597535832691678,principal
65,static,36.06666666666667,12.78034515270312,0.3543533776165375,good,CTX,872.6962890625,36.99463414940352,interneuron
64,static,5.458333333333333,6.1862021646744,1.1333500149021802,good,CTX,879.1714477539062,5.669662089563702,principal
67,static,0.5166666666666667,0.9127187713395379,1.76655246065717,good,CTX,927.9193115234375,1.1939878714886087,principal
66,static,0.26666666666666666,0.5587684871413403,2.0953818267800264,good,CTX,939.7611694335938,0.27733117889778486,principal
72,static,2.6416666666666666,1.3786819389869764,0.5218985257994864,good,CTX,956.0975341796875,2.0576311860875593,principal
77,static,3.1333333333333333,1.8413461259512172,0.5876636572184736,good,HPC,1062.6483154296875,3.2547840353667277,principal
79,static,0.825,1.4018588849571605,1.6992228908571643,good,HPC,1104.9130859375,0.6132144469209223,principal
85,static,15.208333333333334,8.02147724688054,0.5274395997948848,good,HPC,1198.19384765625,15.414628706696707,interneuron
89,static,11.316666666666666,4.4711730998574515,0.39509629748372177,good,HPC,1203.643798828125,11.821192047740103,principal
87,static,0.20833333333333334,0.36846151615723577,1.7686152775547317,good,HPC,1216.047607421875,0.39720471271522967,principal
86,static,7.85,6.3680844843641955,0.8112209534221906,good,HPC,1216.7545166015625,8.941062258330867,unclassified
90,static,17.4,7.243272740964543,0.4162800425841692,good,HPC,1262.096923828125,18.133344628787402,principal
98,static,10.991666666666667,5.337361759854352,0.4855825710254149,good,HPC,1341.424072265625,10.66241455417147,principal
101,static,1.825,2.8222700673984646,1.5464493519991587,good,HPC,1344.91796875,1.4661759614767342,principal
97,static,0.11666666666666667,0.34600899153377823,2.9657913560038134,good,HPC,1355.7359619140625,0.11670855602688522,unclassified
103,static,15.883333333333333,4.569251093511448,0.28767582960197996,good,HPC,1363.6138916015625,15.607296729697023,principal
105,static,0.125,0.3491060010942235,2.792848008753788,good,HPC,1373.565673828125,0.13609404499406277,principal
109,static,5.475,4.35834926701995,0.7960455282228219,good,HPC,1397.14111328125,4.8515153307040455,principal
108,static,0.425,0.6697325336779352,1.5758412557127888,good,HPC,1402.908203125,0.49769275756549697,principal
117,static,0.5416666666666666,2.112052056387079,3.899173027176146,good,HPC,1462.09912109375,1.1967572270553484,principal
128,static,6.075,5.72700110587266,0.9427162314193679,good,HPC,1481.024169921875,5.488862733277985,principal
138,static,4.158333333333333,2.4057079115211715,0.578526952670422,good,HPC,1647.69873046875,3.940397349246701,principal
137,static,13.816666666666666,7.04743846293736,0.5100679225286389,good,HPC,1648.5931396484375,13.067797674996765,principal
136,static,0.4083333333333333,0.9552123091520313,2.3392954509845665,good,HPC,1668.7030029296875,0.6183575358305816,interneuron
142,static,2.8,2.6381811916545836,0.9422075684480656,good,HPC,1676.186279296875,2.6099198105402093,interneuron
143,static,3.158333333333333,4.06559924515713,1.2872609747199357,good,HPC,1676.8529052734375,2.2942132759318894,interneuron
158,static,0.1,0.25495097567963926,2.5495097567963922,good,HPC,1960.6185302734375,0.09059748925476853,interneuron
170,static,10.591666666666667,6.538661730218364,0.6173402105634962,good,HPC,2025.796142578125,11.272464023301833,principal
174,static,2.65,2.9556443177982925,1.11533747841445,good,HPC,2044.546142578125,3.1926713462269958,principal
175,static,14.508333333333333,9.230606546821406,0.6362279067309412,good,HPC,2050.2314453125,14.512214414163402,interneuron
