unit,label,region,depth_um,n_trials,count_pre,count_post,fr_pre,fr_post,pct_change,mod_index,p_raw,p_fdr,significant
121,mua,HPC,1463.572265625,60,670,671,5.583333333333333,5.591666666666667,0.14925373134328357,0.0007457121551081282,0.8019149534876957,0.9504177226520838,False
202,mua,HPC,2495.99462890625,60,723,824,6.025,6.866666666666666,13.96957123098202,0.06528765352294764,0.09352050940256894,0.3649580854734398,False
163,mua,HPC,1993.0799560546875,60,664,772,5.533333333333333,6.433333333333334,16.265060240963855,0.07520891364902507,0.04196120943479018,0.26943149288280427,False
151,mua,HPC,1814.18701171875,60,702,766,5.85,6.383333333333334,9.116809116809117,0.043596730245231606,0.32336526714068403,0.6773623464997047,False
182,mua,HPC,2136.575927734375,60,720,760,6.0,6.333333333333333,5.555555555555555,0.02702702702702703,0.5956322949863304,0.8539646052030352,False
193,mua,HPC,2349.2587890625,60,618,832,5.15,6.933333333333334,34.627831715210355,0.14758620689655172,0.018948275355922344,0.15158620284737875,False
191,mua,HPC,2294.20751953125,60,721,741,6.008333333333334,6.175,2.7739251040221915,0.013679890560875513,0.850997670792775,0.9722427582135441,False
133,mua,HPC,1582.4456787109375,60,665,701,5.541666666666667,5.841666666666667,5.413533834586466,0.02635431918008785,0.3512446328969495,0.7067828809782974,False
152,mua,HPC,1855.1988525390625,60,551,610,4.591666666666667,5.083333333333333,10.707803992740471,0.050818260120585705,0.1869383128063039,0.524739123666818,False
187,mua,HPC,2219.548583984375,60,585,611,4.875,5.091666666666667,4.444444444444445,0.021739130434782608,0.7371576319189734,0.9109437743215908,False
181,mua,HPC,2092.29345703125,60,547,511,4.558333333333334,4.258333333333334,-6.581352833638026,-0.034026465028355386,0.610737736895065,0.8539646052030352,False
112,mua,HPC,1395.1429443359375,60,581,573,4.841666666666667,4.775,-1.3769363166953528,-0.006932409012131715,0.9647113396384097,0.9855346222451378,False
149,mua,HPC,1772.805419921875,60,552,648,4.6,5.4,17.391304347826086,0.08,0.11798603546622911,0.4174657503949809,False
189,mua,HPC,2232.44677734375,60,531,641,4.425,5.341666666666667,20.715630885122412,0.09385665529010238,0.0437826175934557,0.26943149288280427,False
180,mua,HPC,2091.478271484375,60,572,550,4.766666666666667,4.583333333333333,-3.8461538461538463,-0.0196078431372549,0.6609085015917777,0.8667652479892167,False
139,mua,HPC,1667.00732421875,60,555,555,4.625,4.625,0.0,0.0,0.911896368953385,0.9751431903793352,False
186,mua,HPC,2220.048583984375,60,533,523,4.441666666666666,4.358333333333333,-1.876172607879925,-0.00946969696969697,0.5117418675592559,0.7798471072320841,False
166,mua,HPC,2027.255126953125,60,487,454,4.058333333333334,3.783333333333333,-6.776180698151951,-0.03506907545164718,0.7400865247535395,0.9109437743215908,False
135,mua,HPC,1611.0538330078125,60,502,496,4.183333333333334,4.133333333333334,-1.1952191235059761,-0.006012024048096192,0.6364227723487772,0.8556944838302887,False
131,mua,HPC,1566.087158203125,60,463,520,3.8583333333333334,4.333333333333333,12.311015118790497,0.05798575788402848,0.06104514656129067,0.3271481317581242,False
80,mua,HPC,1105.8084716796875,60,433,555,3.6083333333333334,4.625,28.175519630484988,0.12348178137651822,0.25348284081324546,0.6053321571659593,False
119,mua,HPC,1459.12548828125,60,558,501,4.65,4.175,-10.21505376344086,-0.053824362606232294,0.1494200380289876,0.4641930587076771,False
83,mua,HPC,1176.2711181640625,60,437,435,3.6416666666666666,3.625,-0.4576659038901602,-0.0022935779816513763,0.9236107443963864,0.9751431903793352,False
147,mua,HPC,1748.5361328125,60,441,442,3.675,3.683333333333333,0.22675736961451248,0.0011325028312570782,0.8768117324390418,0.9751431903793352,False
106,mua,HPC,1364.9876708984375,60,435,455,3.625,3.7916666666666665,4.597701149425287,0.02247191011235955,0.5162125935052453,0.7798471072320841,False
95,mua,HPC,1286.162841796875,60,345,386,2.875,3.216666666666667,11.884057971014492,0.0560875512995896,0.14172699103122421,0.46302122060349654,False
199,mua,HPC,2478.93896484375,60,402,526,3.35,4.383333333333334,30.845771144278608,0.1336206896551724,0.5166487085412557,0.7798471072320841,False
125,mua,HPC,1475.7177734375,60,433,433,3.6083333333333334,3.6083333333333334,0.0,0.0,0.9793750308561057,0.9855346222451378,False
171,mua,HPC,2033.68896484375,60,360,403,3.0,3.3583333333333334,11.944444444444445,0.0563564875491481,0.26349493662359946,0.6199880861731752,False
146,mua,HPC,1746.5018310546875,60,372,352,3.1,2.933333333333333,-5.376344086021505,-0.027624309392265192,0.7673035148749259,0.9300648665150617,False
94,mua,HPC,1306.9345703125,60,378,404,3.15,3.3666666666666667,6.878306878306878,0.03324808184143223,0.3965061111713196,0.7162878330774597,False
161,mua,HPC,1969.720458984375,60,301,299,2.5083333333333333,2.4916666666666667,-0.6644518272425249,-0.0033333333333333335,0.929429457032963,0.9751431903793352,False
