unit,region,depth_um,fr_pre,fr_stim,pct_change,log2_ratio,mod_index,p_raw,z_pct,z_log2,p_fdr,responder_z2sd,responder_wilcoxon,condition
137,HPC,1648.5931396484375,13.675,12.070833333333333,-11.730652041438157,-0.18001555424330962,-0.062307816798834806,0.09613526888171967,-0.3830219017415385,-0.5028411800411048,0.25882572391232217,False,False,flicker_40Hz
136,HPC,1668.7030029296875,0.8416666666666667,0.8458333333333333,0.49504950495049327,0.007124434433381497,0.002469135802469127,0.4635890785985064,-0.2563004610761709,-0.2038481801070638,0.7375280795885328,False,False,flicker_40Hz
143,HPC,1676.8529052734375,4.083333333333333,3.2291666666666665,-20.918367346938776,-0.3385854388409706,-0.11680911680911679,0.5582080006094066,-0.4782541070688642,-0.7561878101777483,0.8079189559041076,False,False,flicker_40Hz
158,HPC,1960.6185302734375,0.11666666666666667,0.09583333333333334,-17.857142857142854,-0.2837929660005911,-0.09803921568627448,0.975662508915676,-0.4465240033954571,-0.6686460402749375,0.9756625089156761,False,False,flicker_40Hz
170,HPC,2025.796142578125,10.141666666666667,10.866666666666667,7.148726376335247,0.09961470151734926,0.03451011503371676,0.27256275650203377,-0.1873339878096307,-0.05607675714351956,0.5675222387174598,False,False,flicker_40Hz
174,HPC,2044.546142578125,2.816666666666667,2.9,2.958579881656794,0.04206405956654388,0.014577259475218606,0.4501572925520153,-0.23076555681938132,-0.14802524558085153,0.7375280795885328,False,False,flicker_40Hz
175,HPC,2050.2314453125,14.3,14.245833333333334,-0.37878787878788206,-0.005475130066151082,-0.001897533206831136,0.6639910104169989,-0.2653579316642119,-0.2239784666065783,0.8079189559041076,False,False,flicker_40Hz
15,CTX,422.42724609375,0.36666666666666664,0.09583333333333334,-73.86363636363636,-1.935869662580284,-0.5855855855855856,0.12086061800142132,-0.38600163524073816,-1.3903075750147855,0.21150608150248731,False,False,flicker_20Hz
25,CTX,480.804443359375,20.275,22.0625,8.81627620221949,0.12189436394126983,0.042220253912016566,0.274238580172234,-0.18402716457927665,0.19481150011530735,0.38393401224112766,False,False,flicker_20Hz
23,CTX,502.58251953125,4.225,6.7875,60.6508875739645,0.6839289515221774,0.2326901248581158,1.2683676815515447e-05,-0.05740308058049596,0.6277531465699475,7.398811475717343e-05,False,True,flicker_20Hz
20,CTX,511.6981201171875,9.041666666666666,3.9458333333333333,-56.3594470046083,-1.1962587118634567,-0.3923644529996792,2.8859485721104963e-09,-0.34324155881550394,-0.8205768327886598,2.5252050005966844e-08,False,True,flicker_20Hz
27,CTX,546.5692138671875,9.616666666666667,11.4625,19.194107452339686,0.25331291567072817,0.08756671278908876,0.001441908102283166,-0.158675698808344,0.29604470785315934,0.0045878894163555286,False,True,flicker_20Hz
32,CTX,582.375,21.208333333333332,18.333333333333332,-13.555992141453832,-0.21016213255103572,-0.07270811380400422,8.291882934089501e-05,-0.2386792186995617,-0.06097540247748572,0.00036276987836641566,False,True,flicker_20Hz
35,CTX,599.0913696289062,9.375,5.220833333333333,-44.31111111111111,-0.8445385867825389,-0.284613188695404,2.399789260423464e-10,-0.31380930388293743,-0.549642813053008,2.799754137160708e-09,False,True,flicker_20Hz
45,CTX,738.1071166992188,0.4,0.16666666666666666,-58.333333333333336,-1.263034405833794,-0.41176470588235303,0.009170157641390675,-0.3480634633630273,-0.87201491067476,0.022925394103476687,False,True,flicker_20Hz
56,CTX,801.6923828125,1.1333333333333333,0.925,-18.382352941176464,-0.2930469749002333,-0.10121457489878538,0.030570277409547094,-0.2504692852041527,-0.12482254090227024,0.07133064728894321,False,False,flicker_20Hz
55,CTX,805.0826416015625,0.7,0.9,28.571428571428584,0.36257007938470837,0.12500000000000003,0.08235077816211031,-0.13576832735047095,0.3802067459029714,0.16954571974552124,False,False,flicker_20Hz
58,CTX,842.6435546875,0.38333333333333336,6.754166666666666,1661.95652173913,4.1391064194605285,0.8925861062463513,2.8803752532383463e-11,3.854343410081476,3.289315717302063,1.0081313386334212e-09,True,True,flicker_20Hz
65,CTX,872.6962890625,35.483333333333334,41.81666666666667,17.84875528417098,0.23693652095687873,0.0819318671841311,0.0005549878612119923,-0.16196218985056285,0.2834297844177144,0.0021582861269355256,False,True,flicker_20Hz
64,CTX,879.1714477539062,4.316666666666666,1.8416666666666666,-57.33590733590733,-1.2289057282951223,-0.40189445196211093,0.0008584519899990506,-0.34562690312001015,-0.8457252015155619,0.0030045819649966773,False,True,flicker_20Hz
67,CTX,927.9193115234375,0.39166666666666666,7.325,1770.212765957447,4.225130503465767,0.898488120950324,2.1308841524249964e-10,4.118796974958878,3.355581049342004,2.799754137160708e-09,True,True,flicker_20Hz
66,CTX,939.7611694335938,0.2,0.041666666666666664,-79.16666666666667,-2.263034405833794,-0.6551724137931035,0.24296637714008051,-0.3989561329550785,-1.6423263043526737,0.3656623943776884,False,False,flicker_20Hz
72,CTX,956.0975341796875,2.466666666666667,1.2125,-50.8445945945946,-1.024578022720666,-0.34088335220838056,8.892496166585398e-07,-0.3297696118610197,-0.688329241867492,6.224747316609779e-06,False,True,flicker_20Hz
77,CTX,1062.6483154296875,2.675,2.7875,4.2056074766355245,0.059432913519157866,0.020594965675057256,0.9941227594484031,-0.19529032810165498,0.14669673318950635,0.9941227594484031,False,False,flicker_20Hz
79,HPC,1104.9130859375,0.49166666666666664,0.1875,-61.86440677966102,-1.3907899530321663,-0.4478527607361963,0.09437144718027478,-0.3566893395650699,-0.9704264642872228,0.18350003618386762,False,False,flicker_20Hz
85,HPC,1198.19384765625,13.041666666666666,15.833333333333334,21.405750798722057,0.2798367613983295,0.09668109668109673,0.007693056395038408,-0.15327298997236496,0.3164763284212859,0.02071207490971879,False,True,flicker_20Hz
