unit,condition,vs_f0,ppc_f0,p_f0,n_spikes,vs_2f0,ppc_2f0,p_2f0,q_f0,q_2f0,reliable,locked_at_2f0_only,label,region,depth_um,fr_hz,cell_type
128,flicker_20Hz,0.01245317066059561,-0.0005075062930100079,0.7912790758666136,1510,0.024162381638962945,-7.848294462226019e-05,0.41420013577635206,0.9555849292746132,0.7089230326433594,True,False,good,HPC,1481.024169921875,5.488862733277985,principal
138,flicker_20Hz,0.009804638555138119,-0.0009619683951446896,0.9131144879735194,946,0.02387745913670631,-0.0004874646879740473,0.5832509561386935,0.9555849292746132,0.8085179674126515,True,False,good,HPC,1647.69873046875,3.940397349246701,principal
137,flicker_20Hz,0.007359519118934045,-0.0002782662806912151,0.8496335359290104,3009,0.014730742084880868,-0.0001153799069231441,0.5205526893049692,0.9555849292746132,0.7935410299731681,True,False,good,HPC,1648.5931396484375,13.067797674996765,principal
136,flicker_20Hz,0.034220545159641326,-0.0077470699522713855,0.8765307654146032,113,0.026793693586227876,-0.008204259573150253,0.9223966598336389,0.9555849292746132,0.9497970170062313,False,False,good,HPC,1668.7030029296875,0.6183575358305816,interneuron
142,flicker_20Hz,0.06975206199990838,0.003447779426961625,0.03264473303595291,703,0.008562603014662816,-0.001351078812276554,0.9497970170062313,0.07345064933089404,0.9497970170062313,True,False,good,HPC,1676.186279296875,2.6099198105402093,interneuron
143,flicker_20Hz,0.05047507117784901,-0.0012448613614146164,0.5108105391782073,264,0.016704804118939865,-0.003522169859725598,0.9291034627112393,0.8209455093935475,0.9497970170062313,True,False,good,HPC,1676.8529052734375,2.2942132759318894,interneuron
158,flicker_20Hz,0.07830479747119887,-0.049083267509272,0.8925438318001592,19,0.27757732357252485,0.02577412448177984,0.23375488422826562,0.9555849292746132,0.49746194282810313,False,False,good,HPC,1960.6185302734375,0.09059748925476853,interneuron
170,flicker_20Hz,0.02292995841154326,0.000112264491717766,0.28048150492765583,2418,0.038046910781112275,0.0010344302943839261,0.03017440534488903,0.5487681618149788,0.12344074913818238,True,False,good,HPC,2025.796142578125,11.272464023301833,principal
174,flicker_20Hz,0.020131897910976613,-0.000897959237592631,0.7326448331187217,768,0.02804850181562168,-0.0005160368021518692,0.5466615984259603,0.9158060413984023,0.7935410299731681,True,False,good,HPC,2044.546142578125,3.1926713462269958,principal
175,flicker_20Hz,0.03883504669865952,0.0011962296308599763,0.007984937034378982,3202,0.025546806961024623,0.0003404408577270063,0.12371610279476154,0.022457635409190886,0.39815473067585977,True,False,good,HPC,2050.2314453125,14.512214414163402,interneuron
15,phase_reversing_1,0.0652967789707372,-0.004871526350138863,0.6266446486294258,110,0.10127537510438019,0.0011764878557671567,0.3243278049034137,0.9570933866315744,0.7899469224115264,False,False,good,CTX,422.42724609375,0.5637616689434286,principal
25,phase_reversing_1,0.01372937684648222,-4.629864142724537e-06,0.3768217782700238,5178,0.008271804133582063,-0.00012472610266817463,0.7016891233346965,0.9570933866315744,0.9156648908147278,True,False,good,CTX,480.804443359375,17.962435828097185,interneuron
23,phase_reversing_1,0.031017124376808695,-1.9311215428347574e-05,0.3752750927353732,1019,0.045000723643547055,0.0010447361157989294,0.12699931940788867,0.9570933866315744,0.7899469224115264,True,False,good,CTX,502.58251953125,6.988666583779414,principal
20,phase_reversing_1,0.0047595265987979175,-0.00046019449076902674,0.9541578581803317,2072,0.01922707174913719,-0.00011299973112878572,0.4649322816636101,0.9921697752355652,0.8142452218314026,True,False,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,phase_reversing_1,0.006371755697661145,-0.00036066854663643726,0.903757042576603,2493,0.022001545679457876,8.297815193707134e-05,0.29918727683663127,0.9919284613645643,0.7899469224115264,True,False,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,phase_reversing_1,0.01682497509290689,-0.00039286133564714874,0.657805347238308,1480,0.028139959394855748,0.00011626019325308504,0.30981346398108417,0.9570933866315744,0.7899469224115264,True,False,good,CTX,555.851318359375,6.068844913398031,interneuron
