unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz
126,flicker_40Hz,2850,13.333333333333334,10.833333333333334,1.2307692307692308,0.10344827586206896,0.0458005487808752,0.0229002743904376,0.000173606288662126,0.22435222020930565,52.63622378595234,True,0.7172016592459072,False,mua,HPC,1491.674072265625,11.910602670323412
130,flicker_40Hz,3981,17.743055555555554,15.277777777777779,1.1613636363636362,0.07465825446897995,0.021442924687529372,0.010721462343764686,-0.00013627764477033413,0.6328191171073237,347.2072285810182,True,0.8960270684705469,False,mua,HPC,1537.6485595703125,16.922345001674536
129,flicker_40Hz,2014,9.51388888888889,7.638888888888889,1.2454545454545454,0.10931174089068825,0.03958278078392171,0.019791390391960855,-0.00010487727016142134,0.4544063383130864,318.33142037257056,True,0.7859591826777483,False,mua,HPC,1544.405517578125,7.7035559422220645
131,flicker_40Hz,1005,5.277777777777778,3.5069444444444446,1.5049504950495047,0.20158102766798416,0.03877549109937144,0.01938774554968572,-0.0006197568716266382,0.6854966241362644,309.70699848731164,True,0.9003596476244511,False,mua,HPC,1566.087158203125,3.873537193421129
132,flicker_40Hz,1874,8.784722222222223,6.875,1.277777777777778,0.12195121951219517,0.02781744227050307,0.013908721135251535,-0.00034034702121703514,0.6959685200011118,133.0522234647707,True,0.9003596476244511,False,mua,HPC,1567.6287841796875,7.793362187029193
133,flicker_40Hz,1299,6.319444444444445,4.583333333333334,1.3787878787878787,0.15923566878980888,0.059410169436534155,0.029705084718267077,0.00011265584244771352,0.3178934763548405,286.0567408298264,True,0.7489160628920196,False,mua,HPC,1582.4456787109375,5.329031354854725
134,flicker_40Hz,1450,6.875,5.104166666666667,1.346938775510204,0.1478260869565217,0.05823269024989977,0.029116345124949886,0.00015821549515599015,0.29255842536531196,20.867354874279265,True,0.7430055247373002,False,mua,HPC,1609.666259765625,5.927607779494309
135,flicker_40Hz,908,4.131944444444445,3.263888888888889,1.2659574468085106,0.11737089201877937,0.04271637146914902,0.02135818573457451,-0.0006458607884583192,0.6609854349438001,305.7765099193592,True,0.9003596476244511,False,mua,HPC,1611.0538330078125,3.8767021712116887
140,flicker_40Hz,583,2.8472222222222223,1.5972222222222223,1.7826086956521738,0.28125,0.10898826951392389,0.054494134756961944,0.0012565000884132093,0.17709243871748875,296.5893238945734,True,0.6054553020189495,False,mua,HPC,1646.671142578125,2.181460942143204
139,flicker_40Hz,1050,5.347222222222222,3.645833333333333,1.4666666666666668,0.18918918918918923,0.08521359996815725,0.042606799984078625,0.0008637811011701108,0.14866441751989778,20.402140194157067,True,0.5958270516951036,False,mua,HPC,1667.00732421875,4.516818929352368
144,flicker_40Hz,523,2.638888888888889,1.7361111111111112,1.52,0.20634920634920634,0.043938012742518705,0.021969006371259352,-0.0014321469789045076,0.77708264834511,280.15364069132426,True,0.9209868424830934,False,mua,HPC,1693.172119140625,2.234869942358897
141,flicker_40Hz,1421,7.291666666666667,5.104166666666666,1.4285714285714288,0.1764705882352942,0.09611382459817629,0.04805691229908814,0.0016068678526938846,0.03753456689629262,291.6966633379444,True,0.2958024921501232,False,mua,HPC,1694.698974609375,6.066075557831292
145,flicker_40Hz,1709,8.090277777777779,6.319444444444445,1.2802197802197803,0.12289156626506027,0.014653275334233242,0.007326637667116621,-0.0005317690458229464,0.9123670818611298,188.51111643784878,True,0.9667465768064952,False,mua,HPC,1745.724365234375,7.191620784599049
146,flicker_40Hz,766,3.8194444444444446,2.5694444444444446,1.4864864864864864,0.19565217391304346,0.037731764581622314,0.018865882290811157,-0.0009508027709910741,0.7614869442102639,107.03548713251189,True,0.9160745193506934,False,mua,HPC,1746.5018310546875,3.210474346298893
147,flicker_40Hz,838,4.201388888888889,2.9861111111111107,1.4069767441860468,0.16908212560386485,0.042645421520013056,0.021322710760006528,-0.0007395419365569837,0.68330125220327,169.1821805121858,True,0.9003596476244511,False,mua,HPC,1748.5361328125,3.5582262810366294
148,flicker_40Hz,1701,7.638888888888889,6.25,1.2222222222222223,0.10000000000000002,0.015070512797850582,0.007535256398925291,-0.000531421805067751,0.9079591235503062,61.26214604884428,True,0.9667465768064952,False,mua,HPC,1756.7283935546875,7.349474051903209
