unit,label,contam_pct,n_spikes,fr_hz,depth_um,contam_pct_recomputed,hill_fp_pct,region,near_boundary,template,peak_channel,trough_to_peak_ms,half_width_ms,peak_trough_ratio,amplitude_au,repolarises,positive_dominant,burst_index,theta_index,rhythmicity_reliable,cell_type,cell_type_consistent
109,good,12.6,12263,4.8515153307040455,1397.14111328125,12.639453149607668,20.385414761805524,HPC,False,109,70,1.1,0.26666666666666666,0.23240651794001202,516.7159423828125,True,True,0.515766969535008,0.07599699021820919,True,principal,False
108,good,13.0,1258,0.49769275756549697,1402.908203125,13.02931596080569,,HPC,False,108,70,0.9,0.16666666666666666,0.14163102008192568,1117.7557373046875,True,False,5.851063829787234,0.07981220657276991,True,principal,True
117,good,0.0,3025,1.1967572270553484,1462.09912109375,0.0,0.0,HPC,False,117,73,1.1666666666666667,0.4,0.26264283673681316,247.38328552246094,True,False,,-0.029328287606433318,False,principal,True
128,good,2.6,13874,5.488862733277985,1481.024169921875,2.643078471222259,3.562400656729825,HPC,False,128,74,1.0666666666666667,0.3333333333333333,0.18237388310434474,394.1451110839844,True,False,0.049508218364248464,0.016931259896869565,True,principal,True
138,good,14.9,9960,3.940397349246701,1647.69873046875,14.874141875762142,43.876487175160136,HPC,False,138,82,0.5666666666666667,0.26666666666666666,0.3036697560590624,334.21978759765625,True,False,0.3343155031731641,-0.08160220360381036,True,principal,True
137,good,0.2,33031,13.067797674996765,1648.5931396484375,0.22993130801031825,0.23220992685542008,HPC,False,137,82,0.6,0.16666666666666666,0.16100138479830808,667.3758544921875,True,False,0.027166933396558197,0.17977794647940784,True,principal,True
136,good,0.0,1563,0.6183575358305816,1668.7030029296875,0.0,0.0,HPC,False,136,83,0.13333333333333333,0.2,3.397697305956123,269.2716064453125,True,True,10.481682496607869,-0.002298850574712676,True,interneuron,False
142,good,16.1,6597,2.6099198105402093,1676.186279296875,16.066838045916324,,HPC,False,142,84,0.23333333333333334,0.13333333333333333,0.3115189665598034,365.4369812011719,True,False,0.8005227903937265,-0.12860802732707086,True,interneuron,True
143,good,0.0,5799,2.2942132759318894,1676.8529052734375,0.0,11.257001132175898,HPC,False,143,84,0.16666666666666666,0.4333333333333333,4.53556051004568,289.5001525878906,True,True,7.085797281875713,0.005885934645829116,True,interneuron,False
158,good,0.0,229,0.09059748925476853,1960.6185302734375,0.0,0.0,HPC,False,158,98,0.2,0.5666666666666667,5.511867430602583,701.8700561523438,True,True,,,False,interneuron,False
170,good,1.0,28493,11.272464023301833,2025.796142578125,0.9752767347123872,2.4466686373874005,HPC,False,170,101,0.6333333333333333,0.26666666666666666,0.2906816791533577,948.5812377929688,True,False,0.026841234100296745,0.0021946368561826567,True,principal,True
174,good,6.9,8070,3.1926713462269958,2044.546142578125,6.896551724001684,26.322894733744377,HPC,False,174,102,0.5,0.3666666666666667,0.13216757464837503,626.90869140625,True,True,9.845145920190589,-0.05704365079365079,True,principal,False
175,good,0.1,36682,14.512214414163402,2050.2314453125,0.07694971335916544,1.9150805813054061,HPC,False,175,103,0.26666666666666666,0.13333333333333333,0.22147714401064358,950.0902709960938,True,False,1.2773430553085543,-0.038656566643281515,True,interneuron,True
