unit,region,depth_um,fr_hz,condition,n_cycle_spikes,mod_depth,mod_depth_norm,fr_peak,fr_trough,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_p_fdr
204,HPC,2524.290771484375,7.50297547474535,flicker_40Hz,1619,1.3023255813953487,0.1313131313131313,7.777777777777778,5.972222222222222,0.023304626753761805,-7.460567864897927e-05,0.4151415006791892,240.9922069026554,True,0.7723562803333752
122,HPC,1446.6519775390625,7.386266918718464,flicker_40Hz,1895,1.2574257425742574,0.1140350877192983,8.819444444444445,7.013888888888888,0.008662972852784551,-0.0004528963822924416,0.8674656153180094,189.6121405376453,True,0.9667465768064952
148,HPC,1756.7283935546875,7.349474051903209,flicker_40Hz,1701,1.2222222222222223,0.10000000000000002,7.638888888888889,6.25,0.007535256398925291,-0.000531421805067751,0.9079591235503062,61.26214604884428,True,0.9667465768064952
145,HPC,1745.724365234375,7.191620784599049,flicker_40Hz,1709,1.2802197802197803,0.12289156626506027,8.090277777777779,6.319444444444445,0.007326637667116621,-0.0005317690458229464,0.9123670818611298,188.51111643784878,True,0.9667465768064952
150,HPC,1812.88720703125,7.116848184297078,flicker_40Hz,1652,1.2897727272727273,0.12655086848635236,7.881944444444444,6.111111111111111,0.028290276783720543,0.00019513100202616773,0.2665947281528423,19.778339136254566,True,0.7398069566382002
190,HPC,2294.13427734375,6.9265538946396825,flicker_40Hz,1674,1.4691358024691359,0.19000000000000003,8.26388888888889,5.625,0.028828085070819406,0.00023382660510195505,0.24881007942632252,342.4772664757617,True,0.7372150501520667
203,HPC,2514.4150390625,6.854155027680632,flicker_40Hz,1310,1.5634920634920635,0.2198142414860681,6.840277777777778,4.375,0.05542168565149121,0.00230996779602219,0.01785800059810336,256.2415752857718,True,0.21979077659204135
164,HPC,2031.1707763671875,6.851781294337712,flicker_40Hz,1507,1.2784810126582278,0.12222222222222222,7.013888888888888,5.486111111111111,0.025007985071092483,-3.8196035062955684e-05,0.3897259688591775,291.21751136724896,True,0.7550159097522346
124,HPC,1490.3388671875,6.540822226415232,flicker_40Hz,1613,1.2774566473988438,0.12182741116751265,7.673611111111111,6.006944444444445,0.024440891504816636,-2.261964802202125e-05,0.38159999805406786,73.1487875416594,True,0.7550159097522346
120,HPC,1439.46923828125,6.3972113591685895,flicker_40Hz,1529,1.18562874251497,0.08493150684931511,6.875,5.798611111111111,0.013598322763386999,-0.00046941486253716374,0.7537800066849238,354.0722986938048,True,0.9136727353756652
123,HPC,1458.62841796875,6.303844514347081,flicker_40Hz,1576,1.255952380952381,0.11345646437994722,7.326388888888888,5.833333333333333,0.014963013180715821,-0.0004108867179737587,0.7027449589926947,81.1533225145585,True,0.9003596476244511
102,HPC,1346.02197265625,6.199400247258614,flicker_40Hz,1516,1.2578616352201257,0.11420612813370469,6.944444444444445,5.520833333333334,0.009298783295760593,-0.0005735415616470108,0.8771790499162307,252.6805138972215,True,0.9667465768064952
194,HPC,2334.79296875,6.192279047229856,flicker_40Hz,1463,1.4054054054054055,0.16853932584269668,7.222222222222222,5.138888888888888,0.025314053988518367,-4.275489410732554e-05,0.39167528605049595,304.9506715234129,True,0.7550159097522346
188,HPC,2233.57275390625,6.1859490916487365,flicker_40Hz,1403,1.3424657534246573,0.1461988304093567,6.805555555555555,5.069444444444445,0.01773520779423942,-0.0003985048170518505,0.6432809569308139,107.68573064830281,True,0.89674611123153
141,HPC,1694.698974609375,6.066075557831292,flicker_40Hz,1421,1.4285714285714288,0.1764705882352942,7.291666666666667,5.104166666666666,0.04805691229908814,0.0016068678526938846,0.03753456689629262,291.6966633379444,True,0.2958024921501232
159,HPC,1928.7998046875,6.060141224473992,flicker_40Hz,1374,1.3812949640287768,0.16012084592145007,6.666666666666666,4.826388888888889,0.04969105183445933,0.0017426669110984015,0.03358948790674681,239.7438203260102,True,0.2958024921501232
173,HPC,2037.5264892578125,5.936707090642168,flicker_40Hz,1445,1.4375,0.1794871794871795,7.1875,5.0,0.031958886417321426,0.0003295569656481572,0.2286080288846329,358.76388307496046,True,0.7172016592459072
134,HPC,1609.666259765625,5.927607779494309,flicker_40Hz,1450,1.346938775510204,0.1478260869565217,6.875,5.104166666666667,0.029116345124949886,0.00015821549515599015,0.29255842536531196,20.867354874279265,True,0.7430055247373002
121,HPC,1463.572265625,5.902287957169833,flicker_40Hz,1437,1.3311258278145697,0.14204545454545459,6.979166666666667,5.243055555555555,0.03368843029013658,0.00043932183286145114,0.1957804510007841,315.0011045995011,True,0.652601503335947
